County,Township,Village,Zone_Type,Zone_Name,SsD,S1D,SsM,S1M,SDS,SMS,T0_sec
新北市,三重區,全區所有里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,蘆洲區,全區所有里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,興珍里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,更寮里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,集福里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,成州里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,成功里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,五股里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,五福里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,德音里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,陸一里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,貿商里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,德泰里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,成德里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,六福里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,集賢里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,民義里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,成泰里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,水碓里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,五股區,福德里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,山腳里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,福泰里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,楓樹里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,同榮里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,義學里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,明志里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,貴子里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,貴和里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,同興里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,義仁里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,泰友里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,新明里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,貴賢里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,福興里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,泰山區,全興里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,海山里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,頭前里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,國泰里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,全安里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,福基里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,豐年里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,忠孝里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,恆安里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,後港里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,文衡里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,中美里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,興漢里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,中和里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,榮和里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,中泰里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,瓊林里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,文德里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,中誠里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,文明里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,中港里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,思源里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,立人里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,仁愛里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,立德里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,信義里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,立言里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,和平里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,立功里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,化成里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,立志里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,思賢里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,營盤里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,自強里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,自立里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,幸福里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,自信里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,中華里,Basin,臺北一區,,,,,0.6,0.8,1.6
新北市,新莊區,中隆里,Basin,臺北一區,,,,,0.6,0.8,1.6
