Bolt Diameter,Bolt Diameter Value,"Min.Root, K",Thress per Inch,"Net Tensile Area, in2","Net Tensile Area,cm2",Gross Bolt Area,Min.Root Area,Hex F,Heavy Hex F,"Hex, Abrg","Heavy Hex, Abrg"
"1/4""(0.25in)",0.25,0.196,20,0.032,0.206,0.049,0.03,0.438,0.515,0.117,0.181
"3/8""(0.375in)",0.375,0.307,16,0.077,0.497,0.11,0.074,0.562,0.642,0.164,0.247
"1/2""(0.5in)",0.5,0.417,13,0.142,0.916,0.196,0.137,0.75,0.772,0.291,0.32
"5/8""(0.625in)",0.625,0.527,11,0.226,1.458,0.307,0.218,0.938,0.962,0.455,0.494
"3/4""(0.75in)",0.75,0.642,10,0.334,2.155,0.442,0.324,1.125,1.15,0.654,0.703
"7/8""(0.875in)",0.875,0.755,9,0.462,2.981,0.601,0.448,1.312,1.338,0.89,0.949
"1""(1in)",1,0.865,8,0.606,3.91,0.785,0.588,1.5,1.531,1.164,1.245
"1-1/8""(1.125in)",1.125,0.97,7,0.763,4.923,0.994,0.739,1.688,1.725,1.474,1.583
"1-1/4""(1.25in)",1.25,1.1,7,0.969,6.252,1.227,0.95,1.875,1.912,1.818,1.939
"1-3/8""(1.375in)",1.375,1.19,6,1.155,7.452,1.485,1.112,2.062,2.1,2.197,2.334
"1-1/2""(1.5in)",1.5,1.32,6,1.405,9.064,1.767,1.368,2.25,2.288,2.617,2.767
"1-3/4""(1.75in)",1.75,1.53,5,1.899,12.252,2.405,1.839,2.625,2.675,3.562,3.792
"2""(2in)",2,1.76,4.5,2.498,16.116,3.142,2.433,3,3.062,4.652,4.978
"2-1/4""(2.25in)",2.25,2.01,4.5,3.248,20.955,3.976,3.173,3.375,3.438,5.889,6.26
"2-1/2""(2.5in)",2.5,2.23,4,3.999,25.8,4.909,3.906,3.75,3.812,7.269,7.676
"2-3/4""(2.75in)",2.75,2.48,4,4.934,31.832,5.94,4.831,4.125,4.188,8.796,9.25
"3""(3in)",3,2.73,4,5.967,38.497,7.069,5.853,4.5,4.562,10.468,10.955
"3-1/4""(3.25in)",3.25,2.98,4,7.099,45.8,8.296,6.975,4.875,4.938,12.286,12.821
"3-1/2""(3.5in)",3.5,3.23,4,8.329,53.735,9.621,8.194,5.25,5.312,14.249,14.816
"3-3/4""(3.75in)",3.75,3.48,4,9.656,62.297,11.045,9.511,5.625,5.688,16.357,16.974
"4""(4in)",4,3.73,4,11.083,71.503,12.566,10.927,6,6.062,18.611,19.259
