mat_name,unit,unitweight,alpha,E,Fy,Ry,Fu,Rt,rc_region
A36,Lb-In,0.284,7.20E-06,29000000,36000,1.5,58000,1.2,US
A500 GrA pipes,Lb-In,0.284,7.20E-06,29000000,33400,1.1,45000,1.1,US
A500 GrB rectangular,Lb-In,0.28179435,7.20E-06,29000000,46000,1.4,58000,1.3,US
A500 GrB rounded,Lb-In,0.28179435,7.20E-06,29000000,42000,1.4,58000,1.3,US
A500 GrC rectangular,Lb-In,0.28179435,7.20E-06,29000000,50000,1.4,62000,1.3,US
A500 GrC rounded,Lb-In,0.28179435,7.20E-06,29000000,46000,1.4,62000,1.3,US
A501 GrA,Lb-In,0.28179435,7.20E-06,29000000,36000,1.4,58000,1.3,US
A501 GrB,Lb-In,0.28179435,7.20E-06,29000000,50000,1.4,70000,1.3,US
A53 GrB,Lb-In,0.28179435,7.20E-06,29000000,35000,1.6,60000,1.2,US
A570 Gr30 cold form,Lb-In,0.284,7.20E-06,29000000,29700,1.1,49300,1.1,US
A570 Gr50 cold form,Lb-In,0.284,7.20E-06,29000000,50000,1.1,65300,1.1,US
A572 Gr42,Lb-In,0.284,7.20E-06,29000000,42000,1.3,60000,1.1,US
A572 Gr50,Lb-In,0.284,7.20E-06,29000000,50000,1.1,65000,1.1,US
A572 Gr55,Lb-In,0.284,7.20E-06,29000000,55000,1.1,70000,1.1,US
A615 Gr42,Lb-In,0.284,7.20E-06,29000000,60000,1.1,90000,1.1,US
A992 Gr50,Lb-In,0.28179435,7.20E-06,29000000,50000,1.1,65000,1.1,US
